{x=2621,m=748,a=3275,s=2837}
{x=984,m=1957,a=2879,s=1228}
{x=76,m=316,a=2360,s=2945}
{x=144,m=112,a=1943,s=1574}
{x=57,m=540,a=228,s=360}
{x=938,m=102,a=616,s=470}
{x=15,m=38,a=743,s=348}
{x=43,m=1479,a=2057,s=100}
{x=1266,m=671,a=329,s=74}
{x=1907,m=367,a=365,s=316}
{x=3405,m=281,a=39,s=76}
{x=5,m=763,a=451,s=1022}
{x=818,m=1960,a=1160,s=116}
{x=1591,m=86,a=60,s=1100}
{x=859,m=673,a=371,s=255}
{x=1977,m=126,a=3036,s=747}
{x=2088,m=523,a=430,s=2385}
{x=278,m=1788,a=2913,s=1607}
{x=818,m=1038,a=1039,s=646}
{x=664,m=231,a=132,s=3540}
{x=282,m=692,a=1350,s=501}
{x=785,m=1826,a=138,s=1021}
{x=1212,m=87,a=1171,s=311}
{x=1926,m=1880,a=237,s=1081}
{x=1749,m=254,a=978,s=1261}
{x=374,m=797,a=1464,s=3267}
{x=839,m=3048,a=3096,s=799}
{x=2242,m=532,a=866,s=940}
{x=825,m=174,a=1647,s=1327}
{x=1,m=117,a=1925,s=351}
{x=1453,m=753,a=782,s=3056}
{x=1907,m=2289,a=478,s=3855}
{x=1731,m=1062,a=413,s=147}
{x=3224,m=114,a=764,s=254}
{x=1360,m=215,a=572,s=52}
{x=559,m=1236,a=1522,s=798}
{x=46,m=1292,a=240,s=13}
{x=1048,m=653,a=3555,s=3453}
{x=871,m=2088,a=1443,s=1687}
{x=790,m=322,a=2354,s=778}
{x=1557,m=669,a=2836,s=1361}
{x=412,m=24,a=2144,s=733}
{x=40,m=1832,a=2372,s=605}
{x=125,m=714,a=1265,s=328}
{x=106,m=856,a=367,s=1246}
{x=837,m=255,a=511,s=218}
{x=248,m=1648,a=296,s=1873}
{x=209,m=133,a=1828,s=87}
{x=201,m=1736,a=233,s=1320}
{x=510,m=531,a=1703,s=198}
{x=1307,m=462,a=24,s=717}
{x=1354,m=1757,a=557,s=311}
{x=2561,m=2564,a=513,s=1801}
{x=825,m=403,a=810,s=3178}
{x=1079,m=2317,a=796,s=9}
{x=272,m=83,a=1399,s=1604}
{x=617,m=740,a=2087,s=1633}
{x=2814,m=46,a=1245,s=327}
{x=521,m=1306,a=2467,s=1860}
{x=1791,m=1224,a=1079,s=847}
{x=533,m=27,a=734,s=2337}
{x=201,m=2727,a=208,s=1998}
{x=143,m=625,a=1945,s=1468}
{x=1394,m=1469,a=2576,s=45}
{x=280,m=131,a=2559,s=5}
{x=596,m=54,a=3237,s=378}
{x=2769,m=804,a=491,s=35}
{x=31,m=1355,a=1255,s=61}
{x=317,m=447,a=218,s=101}
{x=3447,m=760,a=1211,s=2073}
{x=484,m=45,a=660,s=46}
{x=2338,m=284,a=3353,s=1207}
{x=1242,m=169,a=3,s=187}
{x=2928,m=1528,a=412,s=976}
{x=445,m=1910,a=810,s=950}
{x=2341,m=272,a=2052,s=754}
{x=1404,m=692,a=843,s=1382}
{x=729,m=1114,a=36,s=1687}
{x=1585,m=26,a=1340,s=87}
{x=2188,m=651,a=1534,s=31}
{x=1565,m=1779,a=840,s=810}
{x=801,m=161,a=236,s=252}
{x=3228,m=690,a=260,s=2421}
{x=395,m=2258,a=2114,s=130}
{x=1260,m=2483,a=87,s=684}
{x=1584,m=1856,a=686,s=937}
{x=1857,m=803,a=488,s=115}
{x=781,m=23,a=412,s=8}
{x=16,m=411,a=323,s=24}
{x=4,m=2202,a=75,s=620}
{x=1532,m=979,a=2602,s=812}
{x=8,m=103,a=231,s=1810}
